ID8102,YEAR,OUTCOME,OUTCMYEAR,switcher,instresp,XL_AREA,age1_fav,age2_fav,age3_fav,age4_fav,age5_fav,age6_fav,age7_fav,age8_fav,age9_fav,age10_fav,age11_fav,age12_fav,age1_opp,age2_opp,age3_opp,age4_opp,age5_opp,age6_opp,age7_opp,age8_opp,age9_opp,age10_opp,age11_opp,age12_opp,age1_dk,age2_dk,age3_dk,age4_dk,age5_dk,age6_dk,age7_dk,age8_dk,age9_dk,age10_dk,age11_dk,age12_dk,edu1_fav,edu2_fav,edu3_fav,edu4_fav,edu5_fav,edu6_fav,edu7_fav,edu8_fav,edu9_fav,edu10_fav,edu11_fav,edu12_fav,edu1_opp,edu2_opp,edu3_opp,edu4_opp,edu5_opp,edu6_opp,edu7_opp,edu8_opp,edu9_opp,edu10_opp,edu11_opp,edu12_opp,edu1_dk,edu2_dk,edu3_dk,edu4_dk,edu5_dk,edu6_dk,edu7_dk,edu8_dk,edu9_dk,edu10_dk,edu11_dk,edu12_dk,inc1_fav,inc2_fav,inc3_fav,inc4_fav,inc5_fav,inc6_fav,inc7_fav,inc8_fav,inc9_fav,inc10_fav,inc11_fav,inc12_fav,inc1_opp,inc2_opp,inc3_opp,inc4_opp,inc5_opp,inc6_opp,inc7_opp,inc8_opp,inc9_opp,inc10_opp,inc11_opp,inc12_opp,inc1_dk,inc2_dk,inc3_dk,inc4_dk,inc5_dk,inc6_dk,inc7_dk,inc8_dk,inc9_dk,inc10_dk,inc11_dk,inc12_dk,white_fav,black_fav,hispa_fav,asina_fav,white_opp,black_opp,hispa_opp,asina_opp,white_dk,black_dk,hispa_dk,asian_dk,pid1_fav,pid2_fav,pid3_fav,pid4_fav,pid5_fav,pid6_fav,pid7_fav,pid1_opp,pid2_opp,pid3_opp,pid4_opp,pid5_opp,pid6_opp,pid7_opp,pid1_dk,pid2_dk,pid3_dk,pid4_dk,pid5_dk,pid6_dk,pid7_dk,ideo1_fav,ideo2_fav,ideo3_fav,ideo4_fav,ideo5_fav,ideo6_fav,ideo7_fav,ideo1_opp,ideo2_opp,ideo3_opp,ideo4_opp,ideo5_opp,ideo6_opp,ideo7_opp,ideo1_dk,ideo2_dk,ideo3_dk,ideo4_dk,ideo5_dk,ideo6_dk,ideo7_dk,male_fav,female_fav,male_opp,female_opp,male_dk,female_dk,protes_fav,cathlc_fav,jewish_fav,seculr_fav,protes_opp,cathlc_opp,jewish_opp,seculr_opp,protes_dk,cathlc_dk,jewish_dk,seculr_dk,east_fav,south_fav,midwst_fav,west_fav,east_opp,south_opp,midwst_opp,west_opp,east_dk,south_dk,midwst_dk,west_dk,nounn_fav,union_fav,nounn_opp,union_opp,nounn_dk,union_dk,pred10_sw,pred30_sw,pred50_sw,pred70_sw,pred90_sw,PREDALL_SW,INTGRP_STFAV,INTGRP_SWFAV,INTGRP_STOPP,INTGRP_SWOPP,AARP,AFLCIO,Airlines,AmericanBankersAssociation,AmericanCouncilofLifeInsurance,AmericanFarmBureauFederation,AmericanFederationofStateCountya,AmericanHospitalAssociation,AmericanIsraelPublicAffairsCommi,AmericanLegion,AmericanMedicalAssociation,AssociationofTrialLawyers,Automobilecompanies,ChamberofCommerce,ChristianCoalition,Computersoftwareandhardware,CreditUnionNationalAssociation,Defensecontractors,Electriccompanies,HealthInsuranceAssociation,IndependentInsuranceAgentsofAmer,InternationalBrotherhoodofTeamst,MotionPictureAssociationofAmeric,NationalAssociationofBroadcaster,NationalAssociationofHomeBuilder,NationalAssociationofManufacture,NationalAssociationofRealtors,NationalBeerWholesalersAssociati,NationalEducationAssociation,NationalFederationofIndependentB,NationalGovernorsAssociation,NationalRestaurantAssociation,NationalRifleAssociation,NationalRighttoLifeCommittee,OilCompanies,PharmaceuticalResearchManufactur,RecordingIndustryAssociation,Securitiesandinvestmentcompanies,Telephonecompanies,Tobbacocompanies,UnitedAutoWorkersunion,Universities,VeteransofForeignWarsoftheU_S,ECYN,SWYN,FPYN,RLYN,GNYN,QuestionText,
1,1981,0,,0,1,budget,84,91,116,106,87,155,206,150,3,0,0,0,17,22,31,26,12,29,33,23,0,0,0,0,1,4,3,2,2,6,19,25,0,0,0,0,7,18,37,112,356,169,56,137,104,0,0,0,0,7,10,42,67,25,9,14,18,0,0,0,0,6,6,13,17,9,2,3,6,0,0,0,134,175,232,204,124,86,42,0,0,0,0,0,45,53,46,17,13,10,10,0,0,0,0,0,20,12,9,8,1,0,12,0,0,0,0,0,895,51,27,11,112,61,10,4,47,11,3,1,311,352,334,0,0,0,0,26,54,114,0,0,0,0,18,15,30,0,0,0,0,424,397,141,0,0,0,0,47,73,58,0,0,0,0,19,28,5,0,0,0,0,511,486,68,125,15,47,607,288,24,54,114,51,8,15,40,14,3,1,258,294,258,187,53,55,46,40,18,15,17,12,773,219,135,56,47,14,0.733302474021912,0.814866960048676,0.860729396343231,0.883383691310883,0.891196072101593,0.836695718765259,0,0,3,0,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,-2,,-2,,,,,,,,,,,,,1,0,0,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut 41.4 billion dollars from the 1982 federal budget",
2,1981,0,,0,1,taxation,71,91,103,95,74,141,174,123,3,0,0,0,28,24,43,37,27,43,61,50,0,0,0,0,1,3,4,3,1,5,23,25,0,0,0,0,5,18,25,107,320,151,48,120,81,0,0,0,0,7,21,45,102,45,15,32,45,0,0,0,2,6,7,15,18,7,4,3,2,0,0,0,110,175,201,157,111,76,47,0,0,0,0,0,63,56,72,67,23,21,10,0,0,0,0,0,26,10,13,4,4,0,7,0,0,0,0,0,761,72,21,12,240,41,18,4,53,10,1,0,270,299,307,0,0,0,0,78,90,145,0,0,0,0,7,33,25,0,0,0,0,382,340,127,0,0,0,0,86,142,64,0,0,0,0,22,18,13,0,0,0,0,437,439,141,171,16,49,541,248,22,41,181,89,11,26,40,17,2,3,218,270,227,161,93,77,75,68,18,17,20,9,675,197,230,78,50,14,0.682242810726166,0.710765361785889,0.739557206630707,0.763945400714874,0.789407074451447,0.737183570861816,3,3,1,0,,-2,,1,,,,,,,,,,2,,,,,,,,,,,1,,1,,,2,,,,,,,,2,,,,,,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or",
7,1981,0,,0,1,taxation,75,98,104,105,70,133,193,127,2,0,0,0,24,12,36,26,27,51,36,39,1,0,0,0,2,8,9,4,3,6,29,33,0,0,0,0,4,19,36,115,319,151,50,123,90,0,0,0,1,7,11,37,92,38,11,24,29,0,0,0,2,5,6,15,30,13,7,8,9,0,0,0,130,169,217,166,116,76,35,0,0,0,0,0,45,51,53,47,18,17,20,0,0,0,0,0,25,20,17,15,4,3,9,0,0,0,0,0,790,76,24,8,188,37,12,5,76,10,4,3,266,327,315,0,0,0,0,58,74,120,0,0,0,0,31,21,41,0,0,0,0,376,358,140,0,0,0,0,71,111,56,0,0,0,0,42,31,8,0,0,0,0,476,432,100,152,18,75,562,260,24,43,138,71,9,24,62,23,3,3,248,270,233,157,57,64,67,64,24,30,22,17,698,206,179,69,79,13,0.7404625415802,0.787097454071045,0.807033121585846,0.804534018039703,0.77898907661438,0.783623242378235,3,17,0,0,,,1,1,,1,,1,,,,,1,2,,1,,1,1,,1,,,,1,2,,1,,2,,,,,1,1,1,1,1,1,,,,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or",
10,1981,0,,0,1,foreign pol,59,75,90,94,78,139,168,113,2,0,0,0,41,43,44,30,14,34,56,57,1,0,0,0,1,0,16,11,8,17,34,27,0,0,0,0,5,14,24,86,275,153,45,128,87,0,0,0,2,11,18,62,123,37,17,19,30,0,0,0,0,6,11,18,43,13,5,7,11,0,0,0,97,143,194,166,110,78,31,0,0,0,0,0,68,80,72,38,25,15,22,0,0,0,0,0,34,18,21,24,3,3,12,0,0,0,0,0,739,43,17,10,223,65,19,4,93,15,3,2,265,285,268,0,0,0,0,73,90,157,0,0,0,0,17,47,51,0,0,0,0,363,326,101,0,0,0,0,91,125,87,0,0,0,0,36,48,16,0,0,0,0,417,402,137,183,41,74,498,227,24,47,189,100,9,16,75,27,2,6,206,241,211,161,94,86,85,54,29,37,26,23,627,185,237,81,92,23,0.579012632369995,0.697071135044098,0.761067390441895,0.784767329692841,0.773498177528381,0.719083333015442,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His abolition of the Economic Development Administration which was set up to stimulate e",
12,1981,0,,0,1,taxation,69,78,97,94,63,121,152,112,2,0,0,0,32,31,47,36,30,54,75,52,0,0,0,0,0,9,5,4,8,14,30,33,1,0,0,0,3,15,35,98,280,128,42,107,81,0,0,0,1,11,12,48,119,63,18,43,43,0,0,0,3,5,6,21,41,12,7,4,4,0,0,0,114,145,177,149,100,69,34,0,0,0,0,0,57,81,86,68,27,25,15,0,0,0,0,0,28,14,24,11,10,2,16,0,0,0,0,0,683,66,17,8,288,45,17,5,84,13,6,3,259,254,276,0,0,0,0,75,120,164,0,0,0,0,21,47,37,0,0,0,0,336,319,112,0,0,0,0,118,140,82,0,0,0,0,36,40,10,0,0,0,0,398,391,169,190,27,78,485,237,18,33,211,92,14,31,66,25,4,6,210,227,209,144,94,103,84,78,25,34,29,17,616,170,262,93,78,26,0.652278959751129,0.65833842754364,0.676688075065613,0.703905820846558,0.740139722824097,0.686270201206207,3,3,1,0,,-2,,1,,,,,,,,,,2,,,,,,,,,,,1,,1,,,2,,,,,,,,2,,,,,,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or",
17,1981,0,,0,1,foreign pol,63,64,72,59,43,91,106,93,2,0,0,0,35,49,70,76,51,94,127,80,1,0,0,0,3,5,8,0,7,5,25,24,0,0,0,0,4,17,22,80,218,97,26,76,54,0,0,0,2,9,27,69,199,95,36,75,71,0,0,0,2,5,3,18,24,10,6,4,3,0,0,0,104,119,140,98,66,40,27,0,0,0,0,0,77,102,136,115,70,53,31,0,0,0,0,0,18,19,11,15,2,4,6,0,0,0,0,0,497,64,17,7,503,49,14,8,55,10,8,1,155,190,250,0,0,0,0,178,209,197,0,0,0,0,22,23,31,0,0,0,0,227,243,103,0,0,0,0,238,223,95,0,0,0,0,25,33,6,0,0,0,0,283,311,298,285,14,62,360,183,12,26,354,150,21,40,47,21,2,4,156,164,157,116,156,173,142,113,17,27,22,10,439,150,454,126,63,13,0.571346640586853,0.529078722000122,0.496191084384918,0.470810055732727,0.457746684551239,0.505034637451172,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,"Some of the problems in Poland are that productivity has fallen sharply both in factories and on the farms, and the people feel they don't get enough meat and other basic goods. Today the Polish economy is running 7 billion dollars short, and t",
22,1981,0,,0,1,taxation,62,79,100,83,70,107,179,131,0,0,0,0,36,39,41,31,36,64,74,67,0,0,0,0,0,5,2,4,1,9,18,11,0,0,0,0,1,20,30,81,320,128,38,102,91,0,0,0,6,18,22,46,132,62,19,40,43,0,0,0,0,6,5,9,16,4,4,2,3,0,0,0,109,149,206,144,98,62,0,0,0,0,0,0,88,68,95,54,41,26,0,0,0,0,0,0,14,12,7,5,3,2,0,0,0,0,0,0,699,78,19,7,325,50,8,2,45,3,0,0,244,245,324,0,0,0,0,101,127,161,0,0,0,0,11,20,18,0,0,0,0,322,319,134,0,0,0,0,123,151,92,0,0,0,0,13,17,5,0,0,0,0,387,426,186,204,20,30,490,239,26,41,251,97,11,20,33,8,0,5,222,218,219,155,91,127,102,70,13,19,8,9,613,196,292,93,41,7,0.575466811656952,0.660348892211914,0.705111622810364,0.719552516937256,0.703472435474396,0.672790455818176,3,3,1,0,,-2,,1,,,,,,,,,,2,,,,,,,,,,,1,,1,,,2,,,,,,,,2,,,,,,1,0,0,0,0,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too",
25,1981,0,,0,2,foreign pol,43,53,65,58,58,91,146,118,0,0,0,0,53,63,72,55,45,85,108,73,0,0,0,0,2,7,6,4,4,4,17,18,0,0,0,0,5,18,36,65,250,98,29,65,67,0,0,0,2,23,18,62,190,89,28,75,66,0,0,0,0,4,2,9,29,7,4,5,3,0,0,0,112,112,154,109,75,43,0,0,0,0,0,0,86,100,144,89,65,44,0,0,0,0,0,0,12,18,10,6,3,3,0,0,0,0,0,0,555,54,13,5,464,68,13,5,50,9,1,0,204,185,245,0,0,0,0,137,179,239,0,0,0,0,16,28,19,0,0,0,0,265,241,96,0,0,0,0,172,224,128,0,0,0,0,21,22,7,0,0,0,0,375,259,199,357,19,45,401,172,22,26,324,160,14,38,48,12,1,1,161,201,158,113,149,145,157,105,16,18,14,16,476,153,419,131,51,12,0.552487850189209,0.537585437297821,0.527371525764465,0.522546529769897,0.525667786598206,0.53313182592392,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,"As you know, the Reagan Adminsitration has charged that the Russians and Cubans are supplying arms to the left-wing guerillas in El Salavador. Do you favor or oppose the U.S. taking each of the following steps to help the government in El Salva",
26,1981,0,,0,1,taxation,63,82,100,87,83,145,185,125,0,0,0,0,35,41,42,28,22,32,78,69,0,0,0,0,1,0,2,3,2,3,7,14,0,0,0,0,3,12,30,74,314,154,50,118,117,0,0,0,4,26,27,57,143,36,9,25,19,0,0,0,0,6,0,5,12,4,1,2,1,0,0,0,104,155,232,161,117,69,0,0,0,0,0,0,97,70,71,38,23,22,0,0,0,0,0,0,10,5,5,4,1,0,0,0,0,0,0,0,767,71,16,6,275,58,11,2,26,2,0,1,250,278,345,0,0,0,0,98,102,147,0,0,0,0,9,13,11,0,0,0,0,334,343,160,0,0,0,0,116,133,70,0,0,0,0,8,12,1,0,0,0,0,419,454,162,185,12,21,511,256,30,53,240,84,6,10,22,4,1,3,232,242,231,168,88,110,92,58,7,12,5,9,655,214,263,78,28,3,0.53490936756134,0.693755030632019,0.777377665042877,0.808071076869965,0.798157572746277,0.722454142570496,1,0,0,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too",
28,1981,0,,0,1,taxation,66,105,124,98,90,141,209,146,0,0,0,0,31,16,17,17,16,36,50,47,0,0,0,0,1,3,2,2,1,4,10,16,0,0,0,0,4,23,38,93,378,157,52,124,112,0,0,0,3,16,17,36,74,35,7,16,23,0,0,0,0,6,1,7,14,2,2,4,1,0,0,0,129,193,259,174,113,66,0,0,0,0,0,0,63,34,44,26,25,25,0,0,0,0,0,0,18,3,4,1,4,0,0,0,0,0,0,0,869,74,22,7,174,44,5,2,23,13,0,0,279,311,392,0,0,0,0,73,69,88,0,0,0,0,4,13,23,0,0,0,0,353,398,187,0,0,0,0,91,81,40,0,0,0,0,12,8,3,0,0,0,0,471,511,110,119,10,30,585,289,28,54,158,50,8,10,30,5,0,1,259,271,267,185,57,75,53,44,10,18,7,4,732,247,182,42,33,6,0.701287627220154,0.835279405117035,0.876036942005158,0.863583028316498,0.781965136528015,0.811630427837372,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"Some Democrats in Congress are working on a tax bill as a substitute for the Kemp-Roth tax proposal which calls for a reduction of the federal personal income tax rate 10% each year for the next three years, which many congressmen think is too",
